"sourceip","destinationurl","visitdate","adrevenue","useragent","countrycode","languagecode","searchword","duration"
"229.236.101.65","nssfjuljqpjfxxkkoointxikxraqtxfbvodtsrbhycs","2012-04-30",0.86770296,"Mozilla/5.0 (iPhone; U; CPU like Mac OS X)AppleWebKit/420.1 (KHTML like Gecko) Version/3.0 Mobile/4A93Safari/419.3","POL","POL-PL","jqcgpxodmnfwwf",9
"102.185.17.247","nwvknyjmfptbuyxsqstccuirmijhgdbefwpyxaqviivfmrbghjgjqosrrgmkyqogmtxrhejdrbuqgdkqonmqr","2012-04-30",0.36455578,"Mozilla/5.0 (Windows; U; Windows NT 5.2) AppleWebKit/525.13 (KHTML like Gecko) Chrome/xxx","SAU","SAU-AR","uqydsdofaysph",4
"119.196.169.88","nssduyxjetlnmiufucocglq","2012-04-30",0.49853522,"Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)","SLV","SLV-ES","leuhiiwrtpkuyb",10
"7.70.187.37","nwwyivuduwndexvtxwufpohvahgti","2012-04-30",0.25251108,"Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)","PHL","PHL-EN","xwslynotgtfuuk",4
"69.183.89.21","nssbtpvkdfgogdmrakjydokjcgixqudmaveijdywijxghccrddprnblqgdvr","2012-04-30",0.6286626,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.2)","IND","IND-EN","hrg",1
"129.44.195.188","nwxtuhqaywqqaorggkbmgblmrxgpsomdmxdaoikjjneplmgmejksoqwvwdiedivspekybdngdekqxcfjrk","2012-04-30",0.9067113,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.2)","MEX","MEX-ES","qrhjj",3
"46.214.59.245","nsrvklaelyravjpikjlgloqitvqlrdcdnfonuwnlqocdlsxkmkdae","2012-04-30",0.18183969,"Ucodtuywtmgea/5.8","BIH","BIH-SR","yngse",4
"113.134.207.37","nwywumofnnpbtiadyekutimunehrhsxmamscvvxwhkqyeibphqqvmsbkdkqmqqllwfemiweumfekbtnssglwtj","2012-04-30",0.91149724,"Drnqu/8.","NLD","NLD-NL","viidshh",7
"199.205.80.61","nsqpnxaicmytfssnywaysgylpddahopoikggukusywignkblttqtkvhjvixparonwybxnnnbseiidgyrlsnv","2012-04-30",0.26321185,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.2)","ROU","ROU-RO","smohebons",8
"112.57.104.253","nxaiydsohunckqjomibnvdydodyocrqkgdfhjurgaqhwqvddm","2012-04-30",0.8120386,"Emusdcih/3.5","OMN","OMN-AR","ugwuaiujvoyqavp",4
"225.81.198.181","nsqlcfjbrjrvnwxadokkpbnhhbkobfhmswryckfamtdygwiksyjxxpnjtjuedpnacojsksuktwt","2012-04-30",0.7656816,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0)","LBY","LBY-AR","rqmquikuk",6
"106.134.120.249","nxcahynafmoxvxhqoyweurcwoutcev","2012-04-30",0.79285884,"Mngkkwsnxnonkyitgvngd/6.7","CHL","CHL-ES","nehxnhqfltxjamayl",5
